अफ्रीका	Африка
द डेभिल एण्ड मिस पेर्म	Дьявол и сеньорита Прим
स्यालफुस्रो	Фалса
करम	Галдина
नेपालको जनयुद्ध	Гражданская война в Непале
सुगौली सन्धि	Сугаульский договор
इलाहाबाद विश्वविद्यालय	Аллахабадский университет
द विच अफ पोर्टोबिलो	Ведьма из Портобелло
ओडिशी	Одисси
उर्मिला मातोंडकर	Матондкар, Урмила
कासगंज	Касгандж
उत्तराखण्डका जिल्लाहरु	Список округов Уттаракханда
हमीरपुर जिल्ला (उत्तर प्रदेश)	Хамирпур (округ, Уттар-Прадеш)
उत्तर दिनाजपुर जिल्ला	Северный Динаджпур
मार्सेल साम्बा	Самба, Марсель
अवन्ति	Аванти (царство)
बाइ द रिभर पेड्रा आइ स्याट डाउन एण्ड वेप्ट	На берегу Рио-Пьедра села я и заплакала
